"Search Parameters";"Volcano Name";"Country";"Latitude";"Longitude";"Elevation (m)";""
"";"Denison";"United States";"58.418";"-154.449";"2287";""
"";"Douglas";"United States";"58.855";"-153.542";"2140";""
"";"Dutton";"United States";"55.183";"-162.276";"1465";""
"";"Emmons Lake Volcanic Center";"United States";"55.352";"-162.045";"1534";""
"";"Fourpeaked";"United States";"58.77";"-153.672";"2105";""
"";"Frosty";"United States";"55.067";"-162.835";"1728";""
"";"Griggs";"United States";"58.354";"-155.092";"2317";""
"";"Kaguyak";"United States";"58.611";"-154.025";"901";""
"";"Katmai";"United States";"58.279";"-154.953";"2047";""
"";"Kialagvik";"United States";"57.203";"-156.745";"1677";""
"";"Kukak";"United States";"58.453";"-154.355";"2043";""
"";"Kupreanof";"United States";"56.011";"-159.797";"1895";""
"";"Mageik";"United States";"58.195";"-155.253";"2165";""
"";"Martin";"United States";"58.172";"-155.361";"1863";""
"";"Novarupta";"United States";"58.266";"-155.159";"841";""
"";"Pavlof";"United States";"55.417";"-161.894";"2493";""
"";"Pavlof Sister";"United States";"55.457";"-161.854";"2142";""
"";"Snowy Mountain";"United States";"58.336";"-154.682";"2162";""
"";"Steller";"United States";"58.43";"-154.39";"2279";""
"";"Stepovak Bay 2";"United States";"55.913";"-160.041";"1323";""
"";"Stepovak Bay 3";"United States";"55.929";"-160.002";"1555";""
"";"Stepovak Bay 4";"United States";"55.954";"-159.954";"1557";""
"";"Stepovak Bay Group";"United States";"55.917";"-160.017";"1633";""
"";"Trident";"United States";"58.236";"-155.1";"1864";""
"";"Ugashik-Peulik";"United States";"57.751";"-156.368";"1474";""
"";"Ukinrek Maars";"United States";"57.834";"-156.52";"91";""
"";"Unnamed";"United States";"57.87";"-155.411";"402";""
"";"Veniaminof";"United States";"56.17";"-159.38";"2507";""
"";"Yantarni";"United States";"57.019";"-157.185";"1345";""
"";"Buzzard Creek";"United States";"64.062";"-148.433";"830";""
"";"Churchill";"United States";"61.38";"-141.75";"5005";""
"";"Gordon";"United States";"62.13";"-143.08";"2755";""
"";"Sanford";"United States";"62.22";"-144.13";"4949";""
"";"Wrangell";"United States";"62.006";"-144.017";"4278";""
"";"Behm Canal-Rudyerd Bay";"United States";"55.35";"-131";"500";""
"";"Duncan Canal";"United States";"56.5";"-133.1";"15";""
"";"Edgecumbe";"United States";"57.05";"-135.75";"970";""
"";"Tlevak Strait-Suemez Island";"United States";"55.25";"-133.3";"50";""
"";"Augustine";"United States";"59.363";"-153.435";"1218";""
"";"Hayes";"United States";"61.64";"-152.411";"3034";""
"";"Iliamna";"United States";"60.032";"-153.09";"3053";""
"";"Redoubt";"United States";"60.485";"-152.742";"3108";""
"";"Spurr";"United States";"61.299";"-152.251";"3374";""
"";"Espenberg";"United States";"66.35";"-164.33";"243";""
"";"Imuruk Lake";"United States";"65.6";"-163.92";"610";""
"";"Imuruk Lake";"United States";"65.517";"-163.45";"610";""
"";"Ingakslugwat Hills";"United States";"61.43";"-164.47";"190";""
"";"Kookooligit Mountains";"United States";"63.6";"-170.43";"673";""
"";"St. Michael";"United States";"63.45";"-162.12";"715";""
"";"St. Paul Island";"United States";"57.167";"-170.213";"203";""
"";"Akutan";"United States";"54.134";"-165.986";"1303";""
"";"Amak";"United States";"55.418";"-163.147";"547";""
"";"Amukta";"United States";"52.5";"-171.252";"1066";""
"";"Atka Volcanic Complex";"United States";"52.331";"-174.139";"1518";""
"";"Bobrof";"United States";"51.91";"-177.438";"738";""
"";"Bogoslof";"United States";"53.93";"-168.03";"150";""
"";"Buldir";"United States";"52.35";"175.911";"656";""
"";"Carlisle";"United States";"52.894";"-170.054";"1620";""
"";"Chagulak";"United States";"52.577";"-171.13";"1142";""
"";"Cleveland";"United States";"52.825";"-169.944";"1730";""
"";"Davidof";"United States";"51.97";"178.33";"328";""
"";"Fisher";"United States";"54.65";"-164.43";"1112";""
"";"Gareloi";"United States";"51.79";"-178.794";"1573";""
"";"Great Sitkin";"United States";"52.076";"-176.13";"1740";""
"";"Herbert";"United States";"52.742";"-170.111";"1280";""
"";"Isanotski";"United States";"54.765";"-163.723";"2446";""
"";"Kagamil";"United States";"52.974";"-169.72";"893";""
"";"Kanaga";"United States";"51.923";"-177.168";"1307";""
"";"Kasatochi";"United States";"52.177";"-175.508";"314";""
"";"Kiska";"United States";"52.103";"177.602";"1220";""
"";"Koniuji";"United States";"52.22";"-175.13";"273";""
"";"Korovin";"United States";"52.381";"-174.166";"1518";""
"";"Little Sitkin";"United States";"51.95";"178.543";"1174";""
"";"Makushin";"United States";"53.891";"-166.923";"1800";""
"";"Moffett";"United States";"51.944";"-176.747";"1196";""
"";"Okmok";"United States";"53.43";"-168.13";"1073";""
"";"Recheschnoi";"United States";"53.157";"-168.539";"1984";""
"";"Roundtop";"United States";"54.8";"-163.589";"1871";""
"";"Seguam";"United States";"52.315";"-172.51";"1054";""
"";"Segula";"United States";"52.015";"178.136";"1160";""
"";"Semisopochnoi";"United States";"51.93";"179.58";"1221";""
"";"Sergief";"United States";"52.03";"-174.93";"560";""
"";"Shishaldin";"United States";"54.756";"-163.97";"2857";""
"";"Takawangha";"United States";"51.873";"-178.006";"1449";""
"";"Tana";"United States";"52.83";"-169.77";"1170";""
"";"Tanaga";"United States";"51.885";"-178.146";"1806";""
"";"Uliaga";"United States";"53.065";"-169.77";"888";""
"";"Unnamed";"United States";"52";"-173.5";"0";""
"";"Vsevidof";"United States";"53.13";"-168.693";"2149";""
"";"Westdahl";"United States";"54.516";"-164.65";"1563";""
"";"Yunaska";"United States";"52.639";"-170.632";"550";""
"";"Barren Island";"India";"12.278";"93.858";"354";""
"";"Narcondum";"India";"13.43";"94.28";"710";""
"";"Andrus";"Antarctica";"-75.8";"-132.33";"2978";""
"";"Berlin";"Antarctica";"-76.05";"-136";"3478";""
"";"Bridgeman Island";"Antarctica";"-62.063";"-56.713";"240";""
"";"Bristol Island";"Antarctica";"-59.017";"-26.533";"1100";""
"";"Buckle Island";"Antarctica";"-66.78";"163.25";"1239";""
"";"Candlemas Island";"Antarctica";"-57.08";"-26.67";"550";""
"";"Deception Island";"Antarctica";"-62.957";"-60.637";"602";""
"";"Erebus";"Antarctica";"-77.53";"167.17";"3794";""
"";"Hodson";"Antarctica";"-56.712";"-27.176";"835";""
"";"Hudson Mountains";"Antarctica";"-74.33";"-99.42";"749";""
"";"Leskov Island";"Antarctica";"-56.656";"-28.14";"190";""
"";"Lindenberg Island";"Antarctica";"-65.03";"-60.05";"368";""
"";"Melbourne";"Antarctica";"-74.35";"164.7";"2732";""
"";"Melville";"Antarctica";"-62.02";"-57.67";"549";""
"";"Montagu Island";"Antarctica";"-58.445";"-26.374";"1370";""
"";"Morning";"Antarctica";"-78.5";"163.53";"2723";""
"";"Mount Haddington Volc Field";"Antarctica";"-64.15";"-57.75";"1630";""
"";"Paulet";"Antarctica";"-63.579";"-55.78";"353";""
"";"Penguin Island";"Antarctica";"-62.1";"-57.93";"180";""
"";"Peter I Island";"Antarctica";"-68.85";"-90.58";"1640";""
"";"Pleiades, The";"Antarctica";"-72.67";"165.5";"3040";""
"";"Protector Seamounts";"Antarctica";"-55.912";"-28.167";"-55";""
"";"Royal Society Range";"Antarctica";"-78.25";"163.33";"3000";""
"";"Saunders";"Antarctica";"-57.8";"-26.483";"843";""
"";"Seal Nunataks Group";"Antarctica";"-65.03";"-60.05";"368";""
"";"Siple";"Antarctica";"-73.43";"-126.67";"3110";""
"";"Southern Thule";"Antarctica";"-59.442";"-27.225";"1075";""
"";"Sturge Island";"Antarctica";"-67.4";"164.83";"1167";""
"";"Takahe";"Antarctica";"-76.28";"-112.08";"3460";""
"";"Toney Mountain";"Antarctica";"-75.8";"-115.83";"3595";""
"";"Unnamed";"Antarctica";"-73.45";"164.58";"2987";""
"";"Unnamed";"Antarctica";"-76.83";"163";"-500";""
"";"Waesche";"Antarctica";"-77.17";"-126.88";"3292";""
"";"Young Island";"Antarctica";"-66.42";"162.47";"1340";""
"";"Zavodovski";"Antarctica";"-56.3";"-27.57";"551";""
"";"Ormus Islands";"Indian Ocean";"26";"57";"0";""
"";"Unnamed";"Indian Ocean";"12.25";"45";"0";""
"";"Arhab, Harra of";"Yemen";"15.603";"44.098";"3100";""
"";"Balhaf-Bir Ali Volcanic Field";"Yemen";"14.067";"48.3";"604";""
"";"Bir Borhut";"Yemen";"15.515";"50.935";"464";""
"";"Dhamar, Harras of";"Yemen";"14.57";"44.67";"3500";""
"";"Haylan, Jabal";"Yemen";"15.4";"45.1";"1550";""
"";"Marha, Jabal el-";"Yemen";"15.245";"44.236";"2506";""
"";"Sawad, Harra Es-";"Yemen";"13.58";"46.12";"1737";""
"";"Ash Shaam, Harrat";"Saudi Arabia";"32.333";"37.583";"1100";""
"";"Birk, Harrat al";"Saudi Arabia";"18.37";"41.63";"587";""
"";"Ithnayn, Harrat";"Saudi Arabia";"26.58";"40.2";"1625";""
"";"Khaybar, Harrat";"Saudi Arabia";"25.5";"40";"2093";""
"";"Kishb, Harrat";"Saudi Arabia";"22.8";"41.38";"1475";""
"";"Lunayyir, Harrat";"Saudi Arabia";"25.17";"37.75";"1370";""
"";"Rahah, Harrat ar";"Saudi Arabia";"27.8";"36.17";"1950";""
"";"Rahat, Harrat";"Saudi Arabia";"23.08";"39.78";"1744";""
"";"Uwayrid, Harrat";"Saudi Arabia";"27.08";"37.25";"1920";""
"";"Yar, Jabal";"Saudi Arabia";"17.05";"42.83";"305";""
"";"East Gakkel Ridge at 85A�E";"Arctic Ocean";"85.608";"85.25";"-3800";""
"";"Unnamed";"Arctic Ocean";"88.27";"-65.6";"-1500";""
"";"Antofagasta Volcanic Field";"Argentina";"-26.12";"-67.4";"3495";""
"";"Apagado";"Argentina";"-41.88";"-72.58";"1210";""
"";"Aracar";"Argentina";"-24.29";"-67.783";"6095";""
"";"Atuel, Caldera del";"Argentina";"-34.592";"-69.921";"5189";""
"";"Blanca, Laguna";"Argentina";"-39.02";"-70.37";"1700";""
"";"Blanco, Cerro";"Argentina";"-26.766";"-67.746";"4670";""
"";"Condor, El";"Argentina";"-26.632";"-68.361";"6373";""
"";"Domuyo";"Argentina";"-36.638";"-70.432";"4702";""
"";"Falso Azufre";"Argentina";"-26.8";"-68.37";"5906";""
"";"Huanquihue Group";"Argentina";"-39.887";"-71.58";"2189";""
"";"Nevada, Sierra";"Argentina";"-26.48";"-68.58";"6173";""
"";"Payun Matru";"Argentina";"-36.422";"-69.241";"3715";""
"";"Peinado";"Argentina";"-26.623";"-68.116";"5741";""
"";"Puesto Cortaderas";"Argentina";"-37.567";"-69.617";"970";""
"";"Pular";"Argentina";"-24.188";"-68.054";"6233";""
"";"Risco Plateado";"Argentina";"-34.917";"-69.981";"4999";""
"";"Solo, El";"Argentina";"-27.105";"-68.713";"6205";""
"";"Tipas";"Argentina";"-27.196";"-68.561";"6658";""
"";"Trolon";"Argentina";"-37.738";"-70.906";"2360";""
"";"Tromen";"Argentina";"-37.142";"-70.03";"3978";""
"";"Tromen Volcanic Plateau";"Argentina";"-37.144";"-70.033";"4114";""
"";"Tuzgle";"Argentina";"-24.05";"-66.48";"5486";""
"";"Unnamed";"Argentina";"-25.078";"-68.266";"4652";""
"";"Viedma, Volcan";"Argentina";"-49.358";"-73.28";"1300";""
"";"Aragats";"Armenia";"40.53";"44.2";"4095";""
"";"Ghegham Volcanic Ridge";"Armenia";"40.283";"45";"3597";""
"";"Porak";"Armenia";"40.028";"45.74";"3029";""
"";"Tskhouk-Karckar";"Armenia";"39.742";"45.992";"3139";""
"";"Vaiyots-Sar";"Armenia";"39.797";"45.497";"2575";""
"";"Romanche Fracture Zone";"Atlantic Ocean";"-0.433";"-19.596";"-1528";""
"";"Unnamed";"Atlantic Ocean";"7";"-21.83";"-1415";""
"";"Unnamed";"Atlantic Ocean";"4.2";"-21.45";"-2900";""
"";"Unnamed";"Atlantic Ocean";"-3.5";"-24.5";"-5300";""
"";"Pico Fracture Zone";"Atlantic Ocean";"38.75";"-38.08";"-4200";""
"";"Unnamed";"Atlantic Ocean";"66";"-27.75";"-108";""
"";"Unnamed";"Atlantic Ocean";"49";"-34.5";"-1650";""
"";"Unnamed";"Atlantic Ocean";"39.95";"-25.83";"-2835";""
"";"Fagradalsfjall";"Iceland";"63.895";"-22.258";"250";""
"";"Jan Mayen";"Jan Mayen";"71.082";"-8.155";"2197";""
"";"Ascension";"Atlantic Ocean";"-7.95";"-14.37";"858";""
"";"Thompson Island";"Atlantic Ocean";"-53.93";"5.5";"0";""
"";"Trindade";"Atlantic Ocean";"-20.514";"-29.331";"600";""
"";"Tristan da Cunha";"Atlantic Ocean";"-37.092";"-12.28";"2060";""
"";"Walvis Ridge at 33A�S";"Atlantic Ocean";"-32.958";"-5.22";"-1200";""
"";"Bouvet";"Bouvet I.";"-54.408";"3.351";"741";""
"";"Nightingale Island";"United Kingdom";"-37.42";"-12.48";"365";""
"";"Macdonald";"Antarctica";"-28.98";"-140.25";"-39";""
"";"McBride Volcanic Province";"Australia";"-18.367";"144.567";"1020";""
"";"Newer Volcanics Province";"Australia";"-37.77";"142.5";"1011";""
"";"Agua de Pau";"Portugal";"37.77";"-25.47";"947";""
"";"Corvo";"Portugal";"39.699";"-31.111";"718";""
"";"Don Joao de Castro Bank";"Portugal";"38.23";"-26.63";"-13";""
"";"Fayal";"Portugal";"38.576";"-28.713";"1041";""
"";"Flores";"Portugal";"39.462";"-31.216";"914";""
"";"Furnas";"Portugal";"37.77";"-25.32";"805";""
"";"Graciosa";"Portugal";"39.02";"-27.97";"402";""
"";"Madeira";"Portugal";"32.73";"-16.97";"1862";""
"";"Monaco Bank";"Portugal";"37.6";"-25.88";"-197";""
"";"Pico";"Portugal";"38.47";"-28.4";"2351";""
"";"Picos Fissural Volcanic System";"Portugal";"37.78";"-25.67";"350";""
"";"Sao Jorge";"Portugal";"38.65";"-28.08";"1053";""
"";"Sete Cidades";"Portugal";"37.865";"-25.785";"842";""
"";"Terceira";"Portugal";"38.73";"-27.32";"1023";""
"";"Wurlali";"Indonesia";"-7.125";"128.675";"868";""
"";"Banda Api";"Pacific Ocean";"-4.523";"129.881";"596";""
"";"Emperor of China";"Pacific Ocean";"-6.62";"124.22";"-2850";""
"";"Manuk";"Pacific Ocean";"-5.543";"130.303";"257";""
"";"Nieuwerkerk";"Pacific Ocean";"-6.6";"124.675";"-2285";""
"";"Nila";"Pacific Ocean";"-6.73";"129.5";"781";""
"";"Serua";"Pacific Ocean";"-6.312";"130.017";"608";""
"";"Teon";"Pacific Ocean";"-6.976";"129.144";"728";""
"";"Wetar";"Pacific Ocean";"-6.642";"126.65";"282";""
"";"Jatun Mundo Quri Warani";"Bolivia";"-19.78";"-66.48";"5438";""
"";"Jayu Khota, Laguna";"Bolivia";"-19.463";"-67.432";"3650";""
"";"Pampa Luxsar";"Bolivia";"-20.85";"-68.2";"5543";""
"";"Parinacota";"Bolivia";"-18.166";"-69.142";"6336";""
"";"Tambo Quemado";"Bolivia";"-18.62";"-68.75";"4215";""
"";"Yumia, Cerro";"Bolivia";"-21.5";"-67.5";"4050";""
"";"Bombalai";"Malaysia";"4.4";"117.88";"531";""
"";"Bagana";"Papua New Guinea";"-6.137";"155.196";"1855";""
"";"Balbi";"Papua New Guinea";"-5.916";"155.001";"2715";""
"";"Billy Mitchell";"Papua New Guinea";"-6.09";"155.225";"1544";""
"";"Loloru";"Papua New Guinea";"-6.52";"155.62";"1887";""
"";"Takuan Group";"Papua New Guinea";"-6.442";"155.608";"2210";""
"";"Tore";"Papua New Guinea";"-5.835";"154.935";"2175";""
"";"Alligator Lake";"Canada";"60.42";"-135.42";"2217";""
"";"Atlin Volcanic Field";"Canada";"59.708";"-133.358";"1880";""
"";"Bridge River Cones";"Canada";"50.8";"-123.4";"2500";""
"";"Cayley Volcanic Field";"Canada";"50.12";"-123.28";"2375";""
"";"Crow Lagoon";"Canada";"54.7";"-130.23";"335";""
"";"Edziza";"Canada";"57.72";"-130.63";"2786";""
"";"Fort Selkirk";"Canada";"62.93";"-137.38";"1239";""
"";"Garibaldi";"Canada";"49.85";"-123";"2678";""
"";"Garibaldi Lake";"Canada";"49.933";"-123";"2316";""
"";"Heart Peaks";"Canada";"58.6";"-131.97";"2012";""
"";"Hoodoo Mountain";"Canada";"56.78";"-131.28";"1850";""
"";"Iskut-Unuk River Cones";"Canada";"56.567";"-130.75";"1880";""
"";"Level Mountain";"Canada";"58.42";"-131.35";"2164";""
"";"Meager";"Canada";"50.63";"-123.5";"2680";""
"";"Milbanke Sound Group";"Canada";"52.498";"-128.723";"233";""
"";"Nazko";"Canada";"52.928";"-123.732";"1238";""
"";"Satah Mountain";"Canada";"52.47";"-124.7";"1921";""
"";"Silverthrone";"Canada";"51.518";"-126.113";"2860";""
"";"Spectrum Range";"Canada";"57.43";"-130.68";"2430";""
"";"Tseax River Cone";"Canada";"55.111";"-128.899";"612";""
"";"Tuya Volcanic Field";"Canada";"59.37";"-130.58";"2123";""
"";"Wells Gray-Clearwater";"Canada";"52.33";"-120.57";"2576";""
"";"Fuerteventura";"Spain";"28.358";"-14.02";"529";""
"";"Gran Canaria";"Spain";"28";"-15.58";"1950";""
"";"Hierro";"Spain";"27.73";"-18.03";"1500";""
"";"La Palma";"Spain";"28.57";"-17.83";"2426";""
"";"Lanzarote";"Spain";"29.03";"-13.63";"670";""
"";"Tenerife";"Spain";"28.271";"-16.641";"3715";""
"";"Brava";"Cape Verde";"14.851";"-24.704";"956";""
"";"Fogo";"Cape Verde";"14.95";"-24.35";"2829";""
"";"Santo Antao";"Cape Verde";"17.07";"-25.17";"1979";""
"";"Incahuasi, Nevado de";"Argentina";"-27.033";"-68.296";"6638";""
"";"Lanin";"Argentina";"-39.637";"-71.502";"3776";""
"";"Maipo";"Argentina";"-34.164";"-69.832";"5323";""
